,Opportunity_cost
0,36.166632121911896
1,35.977641861082034
2,35.889333547069434
3,37.06678376131075
4,36.956214827779405
5,36.9540711669424
6,36.95349469811081
7,37.04890849766237
8,36.906120961569314
9,37.132074592856156
10,41.21464777652463
11,41.17188829624528
12,41.27179401089896
13,41.134269377474496
14,41.37224701311135
15,41.27996595588204
16,41.45559139710866
17,41.45646453391339
18,41.45652410480713
19,41.45642450746234
20,41.45595948305338
21,41.456457123492235
22,41.45644119502544
23,41.45649791831039
24,41.45623298781089
25,41.45640738979244
26,41.456493132904995
27,41.45648669288022
28,41.456519226828206
29,41.456515539698096
30,41.456518720135136
31,41.39243365281277
32,41.45652213490349
33,41.45652227831932
34,41.4565227980741
35,41.45652162351482
36,41.41276560638221
37,41.456505416829266
38,41.45648677848264
39,41.45649425783056
40,41.442658606248266
41,41.45651639853287
42,41.45651579892383
43,41.45650798555
44,41.45650559152856
