,Opportunity_cost
0,41.121678577544166
1,41.121678577544166
2,41.44986693850794
3,41.44986693850794
4,41.44986693850794
5,41.456365173355664
6,41.456365173355664
7,41.45640049418952
8,41.456493494203194
9,41.456493494203194
10,41.456493494203194
11,41.456507694883896
12,41.456507694883896
13,41.456507694883896
14,41.456507694883896
15,41.456507694883896
16,41.456507694883896
17,41.456507694883896
18,41.456507694883896
19,41.456507694883896
20,41.456507694883896
21,41.456507694883896
22,41.456507694883896
23,41.456507694883896
24,41.456507694883896
25,41.456507694883896
26,41.456507694883896
27,41.456507694883896
28,41.456507694883896
29,41.456507694883896
30,41.456507694883896
31,41.456507694883896
32,41.456507694883896
33,41.456507694883896
34,41.456507694883896
35,41.456507694883896
36,41.456507694883896
37,41.456507694883896
38,41.456507694883896
39,41.456507694883896
40,41.456507694883896
41,41.456507694883896
42,41.456507694883896
43,41.456507694883896
44,41.456507694883896
