,Opportunity_cost
0,3.9351283557002006
1,4.223779088821075
2,4.223779088821075
3,4.223779088821075
4,4.223779088821075
5,4.223779088821075
6,4.223779088821075
7,4.054796028485306
8,4.054796028485306
9,4.054796028485306
10,4.054796028485306
11,2.7925668303427926
12,2.7925668303427926
13,2.7925668303427926
14,2.7544000574579854
15,2.7544000574579854
16,0.005661658275883497
17,0.005661658275883497
18,0.005661658275883497
19,0.005661658275883497
20,0.005661658275883497
21,0.005661658275883497
22,0.005661658275883497
23,0.3641868963586461
24,0.3641868963586461
25,0.3641868963586461
26,0.3641868963586461
27,0.3641868963586461
28,0.3641868963586461
29,0.3641868963586461
30,0.3641868963586461
31,0.3641868963586461
32,0.3641868963586461
33,0.3641868963586461
34,0.3641868963586461
35,0.3641868963586461
36,0.3641868963586461
37,0.3641868963586461
38,0.3641868963586461
39,0.3641868963586461
40,0.3641868963586461
41,0.3641868963586461
42,0.3641868963586461
43,0.3641868963586461
44,0.3641868963586461
