,Opportunity_cost
0,1.3297695923200763
1,1.329769592321
2,0.7361710874104332
3,0.08375715810542772
4,0.016560674001866005
5,0.016560674001866005
6,0.016560674001866005
7,0.016560674001866005
8,0.0030419125744600706
9,0.0030419125744600706
10,0.0005619728772003896
11,0.0001575050483708651
12,0.0001575050483708651
13,0.0001575050483708651
14,0.00010502769146114588
15,9.253264842357112e-05
16,7.508537927947145e-05
17,7.508511657761119e-05
18,6.786064409425308e-05
19,6.786064409425308e-05
20,6.786064409425308e-05
21,6.786064409425308e-05
22,6.786064409425308e-05
23,6.786064409425308e-05
24,6.786064409425308e-05
25,6.786064409425308e-05
26,6.786064409425308e-05
27,6.786064409425308e-05
28,6.786064409425308e-05
29,6.786064409425308e-05
30,6.786064409425308e-05
31,6.786064409425308e-05
32,6.786064409425308e-05
33,6.786064409425308e-05
34,6.786064409425308e-05
35,6.786064409425308e-05
36,6.786064409425308e-05
37,6.786064409425308e-05
38,6.786064409425308e-05
39,6.786064409425308e-05
40,6.786064409425308e-05
41,6.786064409425308e-05
42,6.786064409425308e-05
43,6.786064409425308e-05
44,6.786064409425308e-05
