,Opportunity_cost
0,5.746096660761879
1,5.746096660761886
2,5.746096660761886
3,5.746096660761886
4,5.746096660761886
5,5.746096660761886
6,5.746096660761886
7,5.746096660761886
8,5.746096660761907
9,5.746096660761907
10,5.505429072233795
11,5.387903400081797
12,5.382157957159841
13,5.381819030055368
14,5.38168196104543
15,5.381598228331811
16,5.381563734636806
17,5.381507212449598
18,5.381507212449598
19,5.3814640071151985
20,5.38142014882694
21,5.38142014882694
22,5.38142014882694
23,5.38142014882694
24,5.38142014882694
25,5.38142014882694
26,5.38142014882694
27,5.381287064721178
28,5.381287064721178
29,5.381275393059077
30,5.381263679031591
31,5.381252312348735
32,5.381242221337217
33,5.380771644484298
34,5.38073092548634
35,5.380450870283681
36,5.380450870283681
37,5.376180344553141
38,5.376180344553141
39,5.372923819669715
40,5.37254121221153
41,5.37254121221153
42,5.37254121221153
43,5.372364033814264
44,5.372364033814264
