,Opportunity_cost,Y,C_bool
0,0.0,8669.087916167975,0
1,0.0,-2333.333333333333,0
2,0.0,-9000.0,0
3,0.0,-3666.666666666667,0
4,0.0,5668.855912516226,1
5,0.0,11329.474186360061,1
6,0.0,-4333.333333333332,0
7,0.0,-333.33333333333326,0
8,0.0,-1000.0,0
9,0.0,-3000.0,0
10,0.0,-5333.333333333334,0
11,0.0,-4508.666196527849,0
12,0.0,-1666.666666666667,0
13,0.0,-1000.0,0
14,0.0,-2337.5144069916614,0
15,0.0,4335.7903763047625,0
16,0.0,11606.139732182586,0
17,0.0,-5666.666666666666,0
18,11333.365480789107,11340.116771990299,1
19,11333.430297712157,12132.560255865677,1
20,12136.584673318232,12032.683184364048,1
21,12136.71065362997,12299.040730513192,1
22,12301.03779598086,12297.032146709294,1
23,12293.644884118203,12316.048842311415,1
24,12314.781028622938,12318.822822756281,1
25,12318.97593361111,12295.994820060263,1
26,12314.70892644451,12487.387137505779,1
27,12487.912137240202,12389.077604911643,1
28,12487.939339232462,12461.754399901152,1
29,12470.670937297156,12489.477585504168,1
30,12488.925746898714,12485.998968823204,1
31,12488.662372855795,12485.207439539456,1
32,12488.97100693994,12490.812311530957,1
33,12489.09692195632,12489.197125038761,1
34,12488.816396381832,12502.050538259671,1
35,12488.562362858149,12468.12422894631,1
36,12489.446759644183,12504.434573104681,1
37,12494.826135639643,12489.622334701522,1
38,12494.361298313714,12489.293114186428,1
39,12494.432206605015,12496.099696784473,1
40,12494.374355603308,12491.739498024715,1
41,12495.752441165703,12492.010348855576,1
42,12495.795175343113,12494.699659042039,1
43,12496.170695930723,12497.561919213615,1
44,12496.315413086963,12489.616276582261,1
45,12497.302656247133,12494.052737278724,1
46,12497.110462965291,12493.169429009426,1
47,12497.165654925147,12496.506485899406,1
48,12497.07712947928,12493.923516921257,1
49,12496.610828619647,12495.295722648461,1
50,12496.862508927574,12503.87130157273,1
51,12496.233382489374,12496.244089453614,1
52,12495.901041938296,12496.618823195135,1
53,12496.692445603187,12497.10403337335,1
54,12496.676840851696,12495.26027440799,1
55,12495.966981206511,12488.145410110235,1
56,12496.696766691104,12495.687303371356,1
57,12496.700430248582,12500.31561627733,1
58,12495.497899760954,12496.62849489022,1
59,12496.048569033923,12503.535818015791,1
60,12495.475979037288,12497.88203286071,1
61,12494.865978937905,12496.39952943661,1
62,12494.486823466017,12498.847722625967,1
63,12495.143786727887,12495.28168494876,1
64,12493.568068358969,12494.023943508906,1
65,12495.05099677751,12493.130108194066,1
66,12495.104142736203,12495.495967403484,1
67,12495.150921621402,12487.85405425023,1
68,12495.008736980668,12491.43148702725,1
69,12495.40760190509,12493.274785305839,1
70,12495.50942552656,12491.525664938195,1
71,12495.58518248416,12492.642898356677,1
72,12496.16708056985,12481.508350263059,1
73,12496.51682754983,12471.638558461016,1
74,12494.999377523885,12492.158612133491,1
75,12494.969332071116,12491.522072078522,1
76,12494.843564129693,12499.49920940023,1
77,12495.150837797495,12499.360184438628,1
