,Opportunity_cost,Y,C_bool
0,0.0,-333.33333333333326,0
1,0.0,-3999.9999999999986,0
2,0.0,7333.180709028751,0
3,0.0,8666.689783693875,0
4,0.0,7672.659015468449,0
5,0.0,-1666.666666666667,0
6,0.0,-7666.666666666666,0
7,0.0,-4333.333333333332,0
8,0.0,2999.2480921599017,0
9,0.0,1001.1951065682479,0
10,0.0,-2333.333333333333,0
11,0.0,-333.33333333333303,0
12,0.0,6116.140809913886,1
13,0.0,3666.8840315161324,0
14,0.0,11827.325204925943,0
15,0.0,8775.264773259067,0
16,0.0,-1000.0,0
17,0.0,-3333.494194081559,0
18,6119.741162224692,-45.204956883658554,0
19,13511.044664973104,13099.49476826911,0
20,13170.612461915689,12864.5174205195,0
21,13310.611773309392,13347.915315895007,0
22,0.0,12628.168473419468,0
23,13641.06250445311,13402.03794387164,0
24,13670.960272201233,13667.640698637113,1
25,13985.634943487597,13748.95066328194,1
26,14124.601656726938,14434.101574069335,1
27,14584.231868651927,14645.749285789292,1
28,14719.219127862734,14226.08246871054,1
29,14806.663789760009,13575.273450763463,1
30,14526.965150828102,14367.679872296496,1
31,14527.790850455043,14523.937093935623,1
32,14527.132979839307,14351.251207978927,1
33,14572.849800948501,14028.913716023106,1
34,14674.946345859491,14585.009241714492,1
35,14772.043443115885,14773.1117916673,1
36,14776.6940222562,14783.43925100116,1
37,14777.159314104343,14768.420324434626,1
38,14776.315344368524,14781.693882389507,1
39,14774.393358338868,14774.761137900025,1
40,14772.135224241661,14779.879158639997,1
41,14769.129732438714,14772.406404050407,1
42,14767.360190930704,14764.450983863348,1
43,14766.815695753592,14757.936522736114,1
44,14767.376508460915,14773.260212778938,1
45,14766.32916453922,14768.74926443489,1
46,14765.779431204823,14768.326454304482,1
47,14765.546568011267,14774.711059096642,1
48,14764.336665785808,14769.7905654963,1
49,14764.142241841277,14770.383833089998,1
50,14763.758823667582,14770.791678980097,1
51,14763.539235338354,14765.207142988016,1
52,14763.470610092783,14766.500277108213,1
53,14763.75402660827,14762.014443058835,1
54,14764.09558094109,14759.904135849782,1
55,14764.272021890905,14768.217434289867,1
56,14764.402027279359,14763.048108263149,1
57,14764.54941221615,14762.759200192584,1
58,14764.26895594244,14753.58747252289,1
59,14765.05810186531,14768.95973127165,1
60,14764.854443302625,14765.594825663726,1
61,14764.94782143248,14771.445461394422,1
62,14764.804816807675,14757.383702522911,1
63,14765.114335431294,14760.365117733007,1
64,14765.087279465317,14778.722814301796,1
65,14764.389062966711,14759.735899423958,1
66,14765.1545340225,14768.334481613394,1
67,14764.750148845103,14758.169383104321,1
68,14765.004147764352,14763.181151879337,1
69,14765.151041657784,14766.20138062402,1
70,14765.17310887217,14759.870119841804,1
71,14765.38501430878,14760.517677435759,1
72,14765.039647976753,14766.169432229375,1
73,14765.197468163768,14768.21507623168,1
74,14765.222660957848,14768.863151955786,1
75,14765.063118817458,14765.916467674204,1
76,14765.110589560602,14762.774977663737,1
77,14765.173239390082,14765.979552775492,1
