,Opportunity_cost,Y,C_bool
0,0.0,-4999.999999999999,0
1,0.0,7246.501743844055,0
2,0.0,6171.924850780517,0
3,0.0,-4166.666666666667,0
4,0.0,7668.873542013294,0
5,0.0,-667.0232798591678,0
6,0.0,-2333.333333333333,0
7,0.0,2333.2086776845563,0
8,0.0,-333.33333333333326,0
9,0.0,6166.66666666667,0
10,0.0,1000.0000000000036,0
11,0.0,10320.783832913083,0
12,0.0,-6999.999999999999,0
13,0.0,-1000.0,0
14,0.0,-1666.666666666667,0
15,0.0,-1333.650690951812,0
16,0.0,-2547.8998708269464,0
17,0.0,7336.035659430949,0
18,0.0,7147.443206690568,1
19,7146.989912438139,11708.627247823884,1
20,11710.935429524348,11180.899448561813,1
21,11710.944489245827,11370.60518451814,1
22,11711.111704348303,12602.51139134041,1
23,12605.056921672169,12634.937883804487,1
24,12627.139088405518,13646.984319707226,1
25,13648.654392231292,12826.251475211888,1
26,13648.732650112703,13458.76567035146,1
27,13648.751121325582,13194.170589870546,1
28,13648.858424444694,13418.638947720588,1
29,13648.889434833884,13373.302630445836,1
30,13648.762503505284,13193.067174007516,1
31,13648.660300055926,12695.368273129508,1
32,13648.775049958527,12975.211564519894,1
33,13648.753801267829,13352.908980415017,1
34,13648.83625885157,12507.068594541415,1
35,13648.835894509273,13632.07349001538,1
36,13648.801157924649,13572.117603947416,1
37,13648.494023208279,11699.180890863176,1
38,13648.754596656547,11250.784486430515,1
39,13648.860319294361,13330.499651367347,1
40,13648.841052644355,13740.927423321857,1
41,13738.93757601179,13198.964754144545,1
42,13739.014410118687,13034.28469995044,1
43,13738.872089894254,13417.166176691517,1
44,13739.117398751385,12885.75838001266,1
45,13738.955046015533,12760.638529665743,1
46,13739.043937315795,13338.128697189313,1
47,13738.894215109647,13850.617341140109,1
48,13853.096818846881,13222.195410094333,1
49,13852.964223240579,13609.793669014958,1
50,13852.992501407793,13127.740074366702,1
51,13852.961474335167,13837.659183266373,1
52,13852.820142166805,12997.753112879745,1
53,13853.02070054199,13735.651959566709,1
54,13834.971739497436,13763.991450888665,1
55,13834.982707119989,14115.231614745837,1
56,14099.021925439203,14221.32338923591,1
57,14224.367290928287,13516.07099500817,1
58,14224.485506934727,13581.375045079483,1
59,14224.463831749934,13449.56549502723,1
60,14224.53122877184,13842.824958149453,1
61,14224.470323320762,13554.63830528155,1
62,14224.421450046002,12825.446661443693,1
63,14224.575859047443,12262.194788647708,1
64,14224.450654940641,14155.363749678778,1
65,14224.566477284088,13886.379519636674,1
66,14224.349188310503,14135.899974994458,1
67,14224.64777629639,13942.970132856786,1
68,14224.52407651874,13541.086642321225,1
69,14224.535420943559,14098.837746636458,1
70,14224.533797844317,13314.349409078408,1
71,14224.537737683297,13612.722536461955,1
72,14224.531252580422,13968.801216906508,1
73,14224.587193316025,14036.693982393132,1
74,14224.487334156707,13660.491458501805,1
75,14224.6911888881,14183.267732444816,1
76,14224.465990891214,13790.559967785055,1
77,14224.447017452692,13771.409282438079,1
