,Opportunity_cost,Y,C_bool
0,0.0,8666.293437926804,0
1,0.0,-183.33333333333394,0
2,0.0,-3194.6504165296865,0
3,0.0,1991.8034156523772,0
4,0.0,3423.661265490553,1
5,0.0,9376.214645698106,0
6,0.0,-3866.8947563567353,0
7,0.0,7843.083735354157,0
8,0.0,9398.623860892721,0
9,0.0,-3799.90553397648,0
10,0.0,422.2649124797663,0
11,0.0,-2738.8294654032024,0
12,0.0,1305.5572758628023,0
13,0.0,-4402.79508096871,0
14,0.0,1972.1782024864424,0
15,0.0,8909.54346019407,0
16,0.0,-2595.00333513054,0
17,0.0,7241.799828034969,0
18,0.0,-4483.987000958011,0
19,0.0,9239.581090149206,0
20,0.0,8815.336693343696,0
21,0.0,9813.143854219872,0
22,0.0,9675.482103335791,0
23,0.0,9693.905389546862,0
24,0.0,9776.957802428959,0
25,0.0,9394.066846705959,0
26,0.0,9634.950920719555,0
27,0.0,9723.13593305355,0
28,0.0,10133.81969367625,0
29,0.0,9609.651654522571,0
30,0.0,9775.550887401263,0
31,0.0,9978.892108749842,0
32,0.0,9769.742513483325,0
33,0.0,9622.894715366789,0
34,0.0,10348.904436296949,0
35,0.0,11213.91371120897,0
36,0.0,13181.83640347208,1
37,13183.423140104796,13523.693370103952,1
38,13525.052724479932,13105.11778761733,1
39,13525.051036420637,13847.055434208807,1
40,13846.216704481327,12943.72249501497,0
41,13846.218187209957,12262.953442220323,1
42,13846.271482704507,13629.189005573755,1
43,13846.288629436762,13869.369945963621,1
44,13868.545706123981,13731.955040404211,1
45,13868.52570193085,14486.016360334153,1
46,14488.254894310805,13187.020150937302,1
47,14488.248174890718,13161.169667753291,1
48,14488.193312344789,14834.926098703778,1
49,14832.95310718336,14362.207992890364,1
50,14832.901337181767,14445.853365809926,1
51,14832.882969543087,14498.973232280652,1
52,14832.938678662505,13884.12797734814,1
53,14832.927050023705,14618.866969331322,1
54,14832.91335099155,13101.727630354104,1
55,14832.91307048205,13673.715094493757,1
56,14832.931558403809,14096.417178190137,1
57,14832.93243982259,14560.233945095884,1
58,14832.941526178209,14627.22911958295,1
59,14832.924791690019,14409.055335463407,1
60,14832.89795020415,14624.076947403139,1
61,14832.941259921283,14301.3139283808,1
62,14832.911647049668,14564.439988064696,1
63,14832.969515831208,13576.956380898011,1
64,14832.936981835639,14397.097248767004,1
65,14832.920588963056,14683.123209275074,1
66,14832.929076108554,13938.99184419608,1
67,14832.921226561857,13897.523751677838,1
