,Opportunity_cost
0,150.82669197714694
1,228.66054603707911
2,217.1769202639523
3,225.9234162198856
4,226.22788444476868
5,266.2127467698748
6,227.1561858586975
7,265.0822617271956
8,255.6007270334169
9,384.1259291022997
10,251.9844573709884
11,255.38529885268494
12,269.4456104444697
13,271.7288410240643
14,253.8916332590619
15,271.20981004913637
16,271.0792793329275
17,449.9999983665808
18,276.569466415119
19,274.704782283412
20,275.0496650714928
21,270.6913871181308
22,270.65401005028514
23,270.4852263184374
24,270.4983687321621
25,274.82915670791266
26,273.267169135945
27,270.55703199225644
28,270.12123279086575
29,270.1292457482552
30,272.5365010953902
31,271.61590507187736
32,273.38902244027753
33,272.5302588106427
34,270.190455981506
35,267.0072328745562
36,266.92999571155195
37,266.93633804717166
38,266.9288369835778
39,265.86937182045824
40,268.1603500943122
41,271.3543353150039
42,270.6355866120674
43,269.99697918526687
44,267.0515777739526
