,Opportunity_cost
0,0.0
1,0.0
2,0.0
3,0.0
4,188.21956773154147
5,216.4115756802581
6,224.67952041252792
7,224.67952041252792
8,224.67952041252792
9,264.6298122049812
10,268.59805953845927
11,268.59805953845927
12,268.77086763801486
13,268.77086763801486
14,268.7862367430096
15,268.7862367430096
16,268.7862367430096
17,268.7862367430096
18,268.7862367430096
19,268.7862367430096
20,268.7862367430096
21,268.7862367430096
22,268.7862367430096
23,268.7862367430096
24,268.7862367430096
25,268.7862367430096
26,268.7862367430096
27,268.7862367430096
28,268.7862367430096
29,268.7862367430096
30,268.7862367430096
31,268.7862367430096
32,268.7862367430096
33,268.7862367430096
34,268.7862367430096
35,268.7862367430096
36,268.7862367430096
37,268.7862367430096
38,268.7862367430096
39,268.7862367430096
40,268.7862367430096
41,268.7862367430096
42,268.7862367430096
43,268.7862367430096
44,268.7862367430096
