,Opportunity_cost
0,"tensor([198.3551], dtype=torch.float64)"
1,"tensor([212.1355], dtype=torch.float64)"
2,"tensor([212.1355], dtype=torch.float64)"
3,"tensor([213.6017], dtype=torch.float64)"
4,"tensor([214.1103], dtype=torch.float64)"
5,"tensor([213.7006], dtype=torch.float64)"
6,"tensor([213.8364], dtype=torch.float64)"
7,"tensor([213.8047], dtype=torch.float64)"
8,"tensor([216.1558], dtype=torch.float64)"
9,"tensor([216.5957], dtype=torch.float64)"
10,"tensor([219.8575], dtype=torch.float64)"
11,"tensor([219.8768], dtype=torch.float64)"
12,"tensor([219.8716], dtype=torch.float64)"
13,"tensor([219.8736], dtype=torch.float64)"
14,"tensor([262.8082], dtype=torch.float64)"
15,"tensor([262.8082], dtype=torch.float64)"
16,"tensor([263.8419], dtype=torch.float64)"
17,"tensor([267.1966], dtype=torch.float64)"
18,"tensor([268.6468], dtype=torch.float64)"
19,"tensor([268.6466], dtype=torch.float64)"
20,"tensor([268.6484], dtype=torch.float64)"
21,"tensor([268.6479], dtype=torch.float64)"
22,"tensor([268.6483], dtype=torch.float64)"
23,"tensor([268.6483], dtype=torch.float64)"
24,"tensor([268.6254], dtype=torch.float64)"
25,"tensor([268.6497], dtype=torch.float64)"
26,"tensor([268.6445], dtype=torch.float64)"
27,"tensor([268.6436], dtype=torch.float64)"
