,Opportunity_cost
0,105.66350467124511
1,99.15198205358652
2,85.26038086604873
3,82.01122561561581
4,81.84250042294727
5,81.8418909261288
6,81.84162292309742
7,81.84146726388423
8,81.84137102423878
9,81.84129688291824
10,81.84122535023488
11,81.84122535023488
12,81.84115502993131
13,81.8411260087401
14,81.8411260087401
15,81.8411260087401
16,81.8411260087401
17,81.8411260087401
18,81.8411260087401
19,81.8411260087401
20,81.8411260087401
21,81.8411260087401
22,81.8411260087401
23,81.8411260087401
24,81.8411260087401
25,81.8411260087401
26,81.8411260087401
27,81.8411260087401
28,81.8411260087401
29,81.8411260087401
30,81.8411260087401
31,81.8411260087401
32,81.8411260087401
33,81.8411260087401
34,81.8411260087401
